仿真时间,持续时间
0,0
1,2.599
2,4.385
3,6.234
4,8.218
5,10.283
6,12.487
7,14.757
8,17.213
9,19.782
10,22.411
11,24.851
12,27.306
13,29.807
14,32.127
15,34.439
16,36.756
17,38.97
18,41.267
19,43.552
20,45.834
21,48.138
22,50.411
23,52.753
24,55.014
25,57.285
26,59.63
27,61.807
28,64.056
29,66.361
30,68.534
31,70.765
32,73.018
33,75.195
34,77.416
35,79.578
36,81.732
37,83.953
38,86.034
39,88.162
40,90.396
41,92.466
42,94.536
43,96.677
44,98.81
45,100.886
46,103.016
47,105.112
48,107.182
49,109.323
50,111.391
51,113.456
52,115.583
53,117.612
54,119.691
55,121.899
56,123.926
57,125.997
