仿真时间,持续时间
0,0
1,2.907
2,4.876
3,6.87
4,9.045
5,11.272
6,13.646
7,16.077
8,18.707
9,21.473
10,24.194
11,26.868
12,29.597
13,32.377
14,34.901
15,37.601
16,40.222
17,42.729
18,45.278
19,47.781
20,50.258
21,52.747
22,55.296
23,57.89
24,60.392
25,62.917
26,65.524
27,67.982
28,70.517
29,73.048
30,75.512
31,78.042
32,80.525
33,83.056
34,85.596
35,87.994
36,90.459
37,92.933
38,95.346
39,97.84
40,100.265
41,102.67
42,105.054
43,107.544
44,109.927
45,112.264
46,114.677
47,117.027
48,119.378
49,121.854
50,124.143
51,126.491
52,128.873
53,131.175
54,133.539
55,135.943
56,138.264
57,140.564
58,142.865
59,145.135
60,147.432
61,149.728
62,152.08
63,154.374
64,156.735
65,159.093
66,161.366
67,163.678
