仿真时间,持续时间
0,0
1,2.583
2,4.334
3,6.087
4,8.06
5,10.026
6,12.185
7,14.42
8,16.803
9,19.318
10,21.823
11,24.168
12,26.446
13,28.802
14,30.968
15,33.179
16,35.417
17,37.53
18,39.71
19,41.962
20,44.155
21,46.309
22,48.479
23,50.716
24,52.848
25,54.993
26,57.191
27,59.296
28,61.483
29,63.755
30,65.867
31,67.97
32,70.12
33,72.156
34,74.293
35,76.378
36,78.374
37,80.413
38,82.444
39,84.447
40,86.494
41,88.481
42,90.458
43,92.465
44,94.502
45,96.452
46,98.45
47,100.451
48,102.411
49,104.454
50,106.429
51,108.387
52,110.39
