仿真时间,持续时间
531,742.434
532,743.803
533,745.129
534,746.424
535,747.766
536,749.071
537,750.419
538,751.816
539,753.112
540,754.412
541,755.742
542,757.066
543,758.384
544,759.721
545,760.977
546,762.278
547,763.632
548,764.904
549,766.195
550,767.523
551,768.833
552,770.111
553,771.428
554,772.782
555,774.092
556,775.424
557,776.687
558,777.999
559,779.336
560,780.641
561,781.946
562,783.262
563,784.574
564,785.838
565,787.162
566,788.435
567,789.732
568,791.084
569,792.399
570,793.737
571,795.081
572,796.423
573,797.719
574,799.07
575,800.409
576,801.709
577,803.037
578,804.411
579,805.775
580,807.253
581,808.847
582,810.368
583,811.993
584,813.713
585,815.376
586,817.041
587,818.68
588,820.289
589,821.985
590,823.698
591,825.285
592,826.946
593,828.593
594,830.155
595,831.817
596,833.446
597,835.111
598,836.807
599,838.441
600,840.065
601,841.77
602,843.4
603,845.03
604,846.724
605,848.395
606,849.996
607,851.649
608,853.273
609,854.938
610,856.628
611,858.231
612,859.956
613,861.718
614,863.31
615,864.957
616,866.614
617,868.21
618,869.891
619,871.573
620,873.172
621,874.836
622,876.544
623,878.164
624,879.807
625,881.531
626,883.133
627,884.796
628,886.405
629,888.104
630,889.769
631,891.382
632,893.052
633,894.798
634,896.396
635,898.05
636,899.788
637,901.42
638,903.085
639,904.658
640,906.316
641,908.033
642,909.616
643,911.258
644,912.989
645,914.579
646,916.262
647,917.928
648,919.537
649,921.264
650,922.998
651,924.633
652,926.303
653,927.977
654,929.597
655,931.259
656,932.986
657,934.569
658,936.235
659,937.817
660,939.483
661,941.19
662,942.795
663,944.437
664,946.154
665,947.769
666,949.405
667,951.123
668,952.719
669,954.433
670,956.149
671,957.742
672,959.395
673,961.119
674,962.709
675,964.354
676,966.07
677,967.679
678,969.326
679,970.925
680,972.576
681,974.276
682,975.931
683,977.557
684,979.243
685,980.886
686,982.507
687,984.267
688,985.858
689,987.523
690,989.119
691,990.767
692,992.479
693,994.083
694,995.734
695,997.443
696,999.083
697,1000.726
698,1002.378
699,1003.975
700,1005.648
701,1007.343
702,1008.95
703,1010.607
704,1012.316
705,1013.92
706,1015.614
707,1017.325
708,1018.942
709,1020.683
710,1022.257
711,1023.901
712,1025.614
713,1027.221
714,1028.846
715,1030.554
716,1032.188
717,1033.829
718,1035.515
719,1037.122
720,1038.772
721,1040.546
722,1042.233
723,1043.869
724,1045.565
725,1047.173
726,1048.808
727,1050.495
728,1052.139
729,1053.748
730,1055.377
731,1056.991
732,1058.664
733,1060.342
734,1061.951
735,1063.628
736,1065.289
737,1066.901
738,1068.558
739,1070.203
740,1071.841
741,1073.526
742,1075.25
743,1076.841
744,1078.535
745,1080.213
746,1081.803
747,1083.451
748,1085.154
749,1086.766
750,1088.395
751,1090.007
752,1091.72
753,1093.411
754,1095.012
755,1096.709
756,1098.375
757,1099.974
758,1101.688
759,1103.479
760,1105.072
761,1106.714
762,1108.301
763,1110.174
764,1111.905
765,1113.493
766,1115.166
767,1116.865
768,1118.488
769,1120.129
770,1121.746
771,1123.397
772,1125.078
773,1126.741
774,1128.349
775,1130.057
776,1131.716
777,1133.331
778,1135.047
779,1136.711
780,1138.334
781,1139.968
782,1141.595
783,1143.263
784,1144.971
785,1146.552
786,1148.222
787,1149.926
788,1151.512
789,1153.186
790,1154.884
791,1156.488
792,1158.156
793,1159.85
794,1161.442
795,1163.162
796,1164.988
797,1166.644
798,1168.502
799,1170.225
800,1171.824
