仿真时间,持续时间
479,2636.56
480,2641.635
481,2646.633
482,2652.149
483,2657.371
484,2662.365
485,2667.551
486,2672.55
487,2677.538
488,2682.564
489,2687.627
490,2692.658
491,2697.695
492,2702.694
493,2707.732
494,2712.76
495,2717.77
496,2722.78
497,2728.038
498,2733.115
499,2738.117
500,2743.128
501,2748.117
502,2753.101
503,2758.098
504,2763.198
505,2768.188
506,2773.2
507,2778.195
508,2783.31
509,2788.293
510,2793.312
511,2798.32
512,2803.349
513,2808.445
514,2813.548
515,2818.557
516,2823.662
517,2828.785
518,2833.997
519,2838.977
520,2843.979
521,2848.97
522,2854.041
523,2859.017
524,2864.016
525,2869.002
526,2873.989
527,2878.953
528,2883.934
529,2888.923
530,2893.92
531,2898.89
532,2904.04
533,2909.098
534,2914.1
535,2919.085
536,2924.076
537,2929.072
538,2934.206
539,2939.196
540,2944.252
541,2949.308
542,2954.291
543,2959.29
544,2964.3
545,2969.268
546,2974.24
547,2979.218
548,2984.21
549,2989.186
550,2994.162
551,2999.138
552,3004.353
553,3009.337
554,3014.342
555,3019.334
556,3024.522
557,3029.552
558,3034.527
559,3039.504
560,3044.72
561,3049.713
562,3054.678
563,3059.648
564,3064.666
565,3069.73
566,3074.715
567,3079.688
568,3084.666
569,3089.743
570,3094.722
571,3099.689
572,3104.778
573,3109.779
574,3114.753
575,3119.723
576,3124.791
577,3130.077
578,3135.198
579,3140.753
580,3146.747
581,3152.721
582,3158.905
583,3165.366
584,3171.958
585,3178.614
586,3185.279
587,3191.881
588,3198.306
589,3204.87
590,3211.407
591,3217.897
592,3224.317
593,3230.521
594,3236.885
595,3243.359
596,3249.784
597,3256.262
598,3262.709
599,3269.191
600,3275.687
601,3282.178
602,3288.663
603,3295.17
604,3301.865
605,3308.638
606,3315.137
607,3321.613
608,3328.334
609,3334.79
610,3341.301
611,3347.768
612,3354.218
613,3360.669
614,3367.212
615,3373.883
616,3380.363
617,3386.917
618,3393.498
619,3400.166
620,3406.694
621,3413.163
622,3419.643
623,3426.302
624,3432.761
625,3439.239
626,3445.78
627,3452.341
628,3458.811
629,3465.279
630,3471.745
631,3478.342
632,3484.918
633,3491.508
634,3497.973
635,3504.437
636,3510.973
637,3517.44
638,3524.019
639,3530.493
640,3536.966
641,3543.605
642,3550.09
643,3556.57
644,3563.241
645,3569.998
646,3576.463
647,3582.95
648,3589.411
649,3595.87
650,3602.39
651,3609.304
652,3615.791
653,3622.293
654,3628.99
655,3635.663
656,3642.161
657,3648.655
658,3655.276
659,3661.95
660,3668.525
661,3675.013
662,3681.56
663,3688.276
664,3695
665,3701.463
666,3708.016
667,3714.505
668,3721.162
669,3727.657
670,3734.134
671,3740.611
672,3747.323
673,3753.813
674,3760.285
675,3766.987
676,3773.462
677,3779.947
678,3786.515
679,3793.074
680,3799.55
681,3806.14
682,3812.609
683,3819.347
684,3825.835
685,3832.32
686,3838.793
687,3845.586
688,3852.048
689,3858.523
690,3865.086
691,3871.695
692,3878.156
693,3884.773
694,3891.293
695,3897.95
696,3904.626
697,3911.112
698,3917.626
699,3924.096
700,3930.621
701,3937.119
702,3943.748
703,3950.309
704,3956.887
705,3963.838
706,3970.568
707,3977.06
708,3983.591
709,3990.071
710,3996.527
711,4003.005
712,4009.84
713,4016.332
714,4022.871
715,4029.419
716,4036.013
717,4042.694
718,4049.162
719,4055.627
720,4062.102
721,4068.582
722,4075.185
723,4081.705
724,4088.232
725,4094.696
726,4101.257
727,4108.117
728,4114.59
729,4121.051
730,4127.512
731,4133.965
732,4140.419
733,4147.145
734,4153.697
735,4160.161
736,4166.617
737,4173.296
738,4179.753
739,4186.49
740,4192.958
741,4199.63
742,4206.533
743,4213.202
744,4219.832
745,4226.513
746,4232.971
747,4239.422
748,4245.934
749,4252.54
750,4258.987
751,4265.646
752,4272.163
753,4278.799
754,4285.443
755,4291.893
756,4298.346
757,4305.141
758,4311.596
759,4318.165
760,4324.697
761,4331.182
762,4337.776
763,4344.23
764,4350.689
765,4357.35
766,4363.992
767,4370.467
768,4377.119
769,4383.571
770,4390.224
771,4396.687
772,4403.143
773,4409.651
774,4416.103
775,4422.646
776,4429.399
777,4436.054
778,4442.503
779,4449.112
780,4455.855
