仿真时间,持续时间
0,0
1,2.696
2,4.396
3,6.092
4,7.995
5,9.896
6,11.986
7,14.213
8,16.659
9,19.18
10,21.641
11,23.872
12,26.166
13,28.522
14,30.663
15,32.82
16,35.029
17,37.178
18,39.335
19,41.489
20,43.712
21,45.802
22,47.859
23,49.96
24,52.005
25,54.011
26,56.068
27,58.038
28,60.014
29,62.07
30,64.017
31,65.992
32,67.989
33,69.898
34,71.871
35,73.901
36,75.809
37,77.899
38,79.901
39,81.815
40,83.775
41,85.746
42,87.599
43,89.516
44,91.425
45,93.261
46,95.166
47,97.039
48,98.911
