仿真时间,持续时间
0,0
1,1.77
2,3.662
3,5.631
4,7.715
5,9.888
6,12.179
7,14.523
8,16.974
9,19.607
10,22.274
11,24.829
12,27.537
13,30.293
14,32.839
15,35.416
16,38.044
17,40.5
18,43.03
19,45.607
20,48.068
21,50.526
22,52.965
23,55.541
24,58.076
25,60.57
26,63.179
27,65.599
28,68.115
29,70.655
30,73.144
31,75.665
32,78.156
33,80.604
34,83.141
35,85.532
36,88.002
37,90.499
38,92.896
39,95.34
40,97.786
41,100.139
42,102.465
43,104.876
44,107.268
45,109.62
46,112.041
47,114.372
48,116.713
49,119.153
50,121.463
51,123.837
52,126.22
53,128.505
54,130.865
55,133.227
56,135.533
57,137.896
58,140.188
59,142.517
60,144.886
61,147.129
62,149.456
63,151.794
64,154.056
65,156.381
66,158.674
67,160.946
68,163.314
69,165.539
70,167.826
71,170.207
72,172.441
73,174.74
