仿真时间,持续时间
0,0
1,0.624
2,1.263
3,1.907
4,2.591
5,3.321
6,4.11
7,4.959
8,5.834
9,6.665
10,7.513
11,8.433
12,9.412
13,10.257
14,11.121
15,12.013
16,12.925
17,13.824
18,14.698
19,15.589
20,16.402
21,17.2
22,18.006
23,18.848
24,19.723
25,20.616
26,21.493
27,22.377
28,23.246
29,24.047
30,24.882
31,25.744
32,26.624
33,27.489
34,28.359
35,29.196
36,29.989
37,30.808
38,31.647
39,32.507
40,33.352
41,34.194
42,34.963
43,35.757
44,36.572
45,37.416
46,38.267
47,39.103
48,39.943
49,40.697
50,41.469
51,42.264
52,43.079
53,43.913
54,44.753
55,45.584
56,46.414
57,47.189
58,47.979
59,48.789
60,49.62
61,50.455
62,51.279
63,52.109
64,52.876
65,53.664
66,54.471
67,55.287
68,56.107
69,56.925
70,57.752
71,58.523
72,59.269
73,60.011
