仿真时间,持续时间
0,0
1,0.562
2,1.105
3,1.69
4,2.311
5,2.977
6,3.691
7,4.437
8,5.155
9,5.896
10,6.693
11,7.543
12,8.295
13,9.036
14,9.804
15,10.585
16,11.281
17,11.98
18,12.702
19,13.452
20,14.23
21,14.95
22,15.636
23,16.347
24,17.084
25,17.841
26,18.61
27,19.362
28,20.119
29,20.83
30,21.523
31,22.234
32,22.968
33,23.722
34,24.459
35,25.194
36,25.908
37,26.559
38,27.209
39,27.866
40,28.524
41,29.188
42,29.846
43,30.505
44,31.159
45,31.815
46,32.494
47,33.151
48,33.799
49,34.444
50,35.093
51,35.737
52,36.381
53,37.024
54,37.668
55,38.312
56,38.958
57,39.6
