仿真时间,持续时间
532,342.68
533,343.274
534,343.87
535,344.479
536,345.07
537,345.662
538,346.271
539,346.874
540,347.472
541,348.076
542,348.676
543,349.269
544,349.868
545,350.476
546,351.081
547,351.699
548,352.336
549,352.976
550,353.611
551,354.247
552,354.848
553,355.441
554,356.043
555,356.65
556,357.243
557,357.841
558,358.453
559,359.049
560,359.649
561,360.255
562,360.857
563,361.448
564,362.049
565,362.657
566,363.25
567,363.845
568,364.472
569,365.089
570,365.692
571,366.294
572,366.895
573,367.5
574,368.17
575,368.814
576,369.438
577,370.073
578,370.729
579,371.372
580,372.059
581,372.767
582,373.479
583,374.218
584,375.003
585,375.815
586,376.653
587,377.472
588,378.294
589,379.137
590,379.937
591,380.74
592,381.477
593,382.214
594,382.945
595,383.677
596,384.483
597,385.342
598,386.235
599,387.135
600,388.066
601,388.903
602,389.728
603,390.566
604,391.357
605,392.16
606,392.986
607,393.809
608,394.591
609,395.342
610,396.131
611,396.939
612,397.752
613,398.576
614,399.373
615,400.139
616,400.919
617,401.72
618,402.554
619,403.365
620,404.122
621,404.898
622,405.678
623,406.501
624,407.318
625,408.142
626,408.92
627,409.749
628,410.712
629,411.635
630,412.5
631,413.322
632,414.129
633,415
634,415.827
635,416.655
636,417.507
637,418.329
638,419.098
639,419.886
640,420.716
641,421.53
642,422.362
643,423.142
644,423.903
645,424.696
646,425.488
647,426.325
648,427.118
649,427.894
650,428.683
651,429.471
652,430.301
653,431.122
654,431.944
655,432.712
656,433.485
657,434.293
658,435.115
659,435.954
660,436.732
661,437.482
662,438.275
663,439.087
664,439.916
665,440.748
666,441.531
667,442.299
668,443.075
669,443.873
670,444.709
671,445.51
672,446.273
673,447.045
674,447.834
675,448.66
676,449.476
677,450.304
678,451.066
679,451.823
680,452.621
681,453.423
682,454.256
683,455.073
684,455.845
685,456.618
686,457.397
687,458.206
688,459.032
689,459.817
690,460.598
691,461.364
692,462.164
693,462.982
694,463.817
695,464.648
696,465.388
697,466.159
698,466.948
699,467.756
700,468.589
701,469.35
702,470.115
703,470.903
704,471.7
705,472.533
706,473.338
707,474.129
708,474.893
709,475.669
710,476.484
711,477.297
712,478.106
713,478.866
714,479.633
715,480.446
716,481.256
717,482.087
718,482.916
719,483.659
720,484.438
721,485.217
722,486.024
723,486.859
724,487.667
725,488.475
726,489.227
727,490.006
728,490.815
729,491.626
730,492.427
731,493.176
732,493.953
733,494.764
734,495.573
735,496.402
736,497.212
737,497.966
738,498.745
739,499.525
740,500.355
741,501.175
742,501.931
743,502.706
744,503.476
745,504.285
746,505.107
747,505.918
748,506.714
749,507.458
750,508.245
751,509.047
752,509.865
753,510.675
754,511.42
755,512.205
756,512.999
757,513.781
758,514.554
759,515.333
760,516.148
761,516.978
762,517.748
763,518.533
764,519.306
765,520.112
766,520.94
767,521.75
768,522.563
769,523.31
770,524.089
771,524.896
772,525.706
773,526.537
774,527.283
775,528.056
776,528.848
777,529.646
778,530.49
779,531.298
780,532.087
781,532.868
782,533.651
783,534.483
784,535.309
785,536.096
786,536.868
787,537.632
788,538.442
789,539.255
790,540.064
791,540.825
792,541.584
793,542.399
794,543.208
795,544.03
796,544.858
797,545.602
798,546.382
799,547.164
800,547.972
