仿真时间,持续时间
0,0
1,0.515
2,1.036
3,1.596
4,2.195
5,2.836
6,3.536
7,4.267
8,4.978
9,5.696
10,6.462
11,7.252
12,7.972
13,8.682
14,9.399
15,10.118
16,10.823
17,11.473
18,12.146
19,12.855
20,13.582
21,14.274
22,14.93
23,15.606
24,16.297
25,17.008
26,17.73
27,18.439
28,19.156
29,19.837
30,20.472
31,21.105
32,21.735
33,22.36
34,22.982
35,23.602
36,24.224
37,24.848
38,25.477
39,26.104
40,26.733
41,27.359
42,27.985
43,28.611
44,29.237
45,29.853
46,30.468
47,31.085
48,31.698
49,32.315
50,32.935
51,33.553
52,34.168
