仿真时间,持续时间
0,0
1,1.036
2,1.717
3,2.383
4,3.117
5,3.861
6,4.647
7,5.474
8,6.285
9,7.096
10,7.944
11,8.887
12,9.792
13,10.638
14,11.485
15,12.364
16,13.242
17,14.094
18,14.948
19,15.813
20,16.588
21,17.355
22,18.143
23,18.962
24,19.796
25,20.656
26,21.502
27,22.354
28,23.184
29,23.962
30,24.766
31,25.583
32,26.425
33,27.255
34,28.081
35,28.885
36,29.646
37,30.425
38,31.221
39,32.032
40,32.848
41,33.647
42,34.382
43,35.146
44,35.932
45,36.739
46,37.549
47,38.344
48,39.155
49,39.891
50,40.657
51,41.431
52,42.224
53,43.078
54,43.877
55,44.671
56,45.386
57,46.094
58,46.808
59,47.515
60,48.226
61,48.944
62,49.657
63,50.366
64,51.074
65,51.789
66,52.496
67,53.204
