仿真时间,持续时间
0,0
1,1.513
2,3.11
3,4.834
4,6.647
5,8.556
6,10.532
7,12.611
8,14.758
9,17.073
10,19.389
11,21.626
12,23.909
13,26.201
14,28.367
15,30.569
16,32.754
17,34.834
18,37.002
19,39.137
20,41.269
21,43.397
22,45.539
23,47.753
24,49.889
25,52.048
26,54.258
27,56.351
28,58.491
29,60.658
30,62.708
31,64.848
32,66.961
33,69.044
34,71.206
35,73.264
36,75.32
37,77.413
38,79.391
39,81.41
40,83.481
41,85.475
42,87.445
43,89.548
44,91.6
45,93.568
46,95.583
47,97.583
48,99.559
49,101.575
50,103.536
51,105.498
52,107.532
53,109.455
54,111.424
55,113.437
56,115.376
57,117.379
