仿真时间,持续时间
0,0
1,1.697
2,3.432
3,5.3
4,7.236
5,9.307
6,11.431
7,13.724
8,16.109
9,18.458
10,20.982
11,23.478
12,26.026
13,28.612
14,30.976
15,33.39
16,35.836
17,38.246
18,40.578
19,42.976
20,45.315
21,47.606
22,50.081
23,52.525
24,54.877
25,57.262
26,59.702
27,62.026
28,64.413
29,66.812
30,69.133
31,71.522
32,73.871
33,76.162
34,78.726
35,81.045
36,83.489
37,85.848
38,88.081
39,90.375
40,92.675
41,94.885
42,97.083
43,99.337
44,101.675
45,103.873
46,106.167
47,108.38
48,110.59
49,112.848
50,115.025
51,117.243
52,119.492
53,121.643
54,123.868
55,126.1
56,128.208
57,130.379
58,132.492
59,134.63
60,136.824
61,139.011
62,141.169
63,143.39
64,145.544
65,147.714
66,149.95
67,152.062
